,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,SPLR,,,SUPER LIGA REGIA,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,GOLDEN,,GOLDEN LEAGUE,,,,,,,,,,,,,,,
, ORDEN DE EQUIPOS CONFORME A FC PORTO,,,,,,       PARTICIPACIÓN EN TORNEOS,,,,,,,,,,,,,,J5 SP,,,J5 SAN PEDRO,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,CECAF,,,COPA RELAMPAGO CECAF 30 DE ABRIL AL 3 DE MAYO,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,QUEEN CUP,,,COPA RELAMPAGO QUEEN CUP 16 AL 19 DE ABRIL,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EQUIPOS,NACIMIENTO,STATUS DE COMPETENCIA,PROFESOR,ENERO,,,FEBRERO,,,MARZO,,,ABRIL,,,,MAYO,,,JUNIO,,,JULIO,,,AGOSTO,,,SEPTIEMBRE,,,OCTUBRE,,,NOVIEMBRE,,,DICIEMBRE
LINDAVISTA,INICIACIÓN B1,2021,COMPITE,JOHAN,,,SUPER LIGA REGIA F 4   LV,,,,,,,,,,,SUPER LIGA REGIA F4,,,,,,,,,,,,,,,,,,,,,
,INICIACIÓN B2,2021,COMPITE,MABEL,,,SUPER LIGA REGIA F 4   LV,,,,,,,,,,,SUPER LIGA REGIA F4,,,,,,,,,,,,,,,,,,,,,
,BASICO B1,2020,COMPITE,FELIPE,,J5 SAN PEDRO FÚTBOL 5,,,,,,,,,,,,SUPER LIGA REGIA F7,,,,,,,,,,,,,,,,,,,,,
,BASICO  B1,2018,INVITADO,JOHAN,,,SUPER LIGA REGIA FUT 7  CO.,,,,,,,,,,,SUPER LIGA REGIA FUT 7,,,,,,,,,,,,,,,,,,,,,
,BASICO  B2,2018,COMPITE,JOHAN,,,SUPER LIGA REGIA FUT 7  CO.,,,,,,,,,,,SUPER LIGA REGIA FUT 7,,,,,,,,,,,,,,,,,,,,,
,BASICO B1,2019,COMPITE,MABEL,,,SUPER LIGA REGIA FUT 7 CO.,,,,,,,,,,,SUPER LIGA REGIA FUT 7,,,,,,,,,,,,,,,,,,,,,
,INTERMEDIO B1,2017,INVITADO,MERINO,,,SUPER LIGA REGIA FUT 7 CO.,,,,,,,,,,,SUPER LIGA REGIA FUT 7,,,,,,,,,,,,,,,,,,,,,
,INTERMEDIO B1,2016,INVITADO,DAVID,,,SUPER LIGA REGIA  FUT  LV,,,,,,,,,,,SUPER LIGA REGIA FUT 7,,,,,,,,,,,,,,,,,,,,,
,AVANZADO B1,2015,INVITADO,NELSON,,,SUPER LIGA REGIA FUT  CO.,,,,,,,,,,,SUPER LIGA REGIA FUT 7,,,,,,,,,,,,,,,,,,,,,
,AVANZADO B2 ,2015,COMPITE,NELSON,,,SUPER LIGA REGIA  FUT  LV,,,,,,,,,,,SUPER LIGA REGIA FUT 7,,,,,,,,,,,,,,,,,,,,,
,AVANZADO  B1,2014,INVITADO,ARTURO,,,SUPER LIGA REGIA FUT  CO.,,,,,,,,,,,SUPER LIGA REGIA FUT 7,,,,,,,,,,,,,,,,,,,,,
,AVANZADO B3 FEM.,2015-2014,COMPITE,MABEL Y RICHI,,,ROSA POWER FUT 7  LV,,,,,,,,,,,ROSA POWER FUT 7  LV,,,,,,,,,,,,,,,,,,,,,
,EXPERT B1,2012,INVITADO,VILLALBA,,,SUPER LIGA REGIA  FUT 11  LV,,,,,,,,,,,SUPER LIGA REGIA FUT 11,,,,,,,,,,,,,,,,,,,,,
,EXPERT B1 ,2013,INVITADO,ALEX,,,SUPER LIGA REGIA FUT 11  LV,,,,,,,,,,,SUPER LIGA REGIA FUT 11,,,,,,,,,,,,,,,,,,,,,
,EXPERT B2   ,2012,COMPITE,NELSON,,,SUPER LIGA REGIA FUT 11,,,,,,,,,,,SUPER LIGA REGIA FUT 11,,,,,,,,,,,,,,,,,,,,,
,EXPERT B2   ,2013,COMPITE,NELSON ,,,SUPER LIGA REGIA FUT 11  LV,,,,,,,,,,,SUPER LIGA REGIA FUT 11,,,,,,,,,,,,,,,,,,,,,
,EXPERT B3 FEM,2012-2013,,DAVID,,,ROSA POWER FUT 7  LV,,,,,,,,,,,ROSA POWER FUT 7  LV,,,,,,,,,,,,,,,,,,,,,
,PREJUVENIL B1,2011,COMPITE,VILLALBA,,,SUPER LIGA REGIA FUT 11  LV,,,,,,,,,,,SUPER LIGA REGIA FUT 11,,,,,,,,,,,,,,,,,,,,,
,PREJUVENIL B1,2010,COMPITE,ALEX,,,SUPER LIGA REGIA FUT 11  LV,,,,,,,,,,,SUPER LIGA REGIA FUT 11,,,,,,,,,,,,,,,,,,,,,
,PREJUVENIL B2,2011/2010,COMPITE,FELIPE ,GOLDEN RELÁMPAGO,,,ROSA POWER FUT 7  LV,,,,,,,,,,ROSA POWER FUT 7  LV,,,,,,,,,,,,,,,,,,,,,
,SUB 8 ,2017,COMPITE,ARTURO,,,SUPER LIGA REGIA  FUT 7  CO.,,,,,,,,,,,CECAF  FUT 7 RELAMPAGO,SUPER LIGA REGIA FUT 7,,,,,,,,,,,,,,,,,,,,
,SUB 9  A,2016,COMPITE,DAVID,,,J5 SAN PEDRO FÚTBOL 9,,,,,,,,,,,CECAF  FUT 7 RELAMPAGO,J5 SAN PEDRO FÚTBOL 7,,,,,,,,,,,,,,,,,,,,
,SUB 9  B,2016,COMPITE,ALEX,,,J5 SAN PEDRO FÚTBOL 9,,,,,,,,,,,,SUPER LIGA REGIA FUT 7,,,,,,,,,,,,,,,,,,,,
,SUB 10,2015,COMPITE,FELIPE,,,J5 SAN PEDRO FÚTBOL 7,,,,,,,,,,,CECAF  FUT 7 RELAMPAGO,J5 SAN PEDRO FÚTBOL 7,,,,,,,,,,,,,,,,,,,,
,SUB 11,2014,COMPITE,MERINO,,,SUPER LIGA REGIA FUT 7  CO.,,,,,,,,,,,CECAF  FUT 7 RELAMPAGO,SUPER LIGA REGIA FUT 7,,,,,,,,,,,,,,,,,,,,
,SUB 14/ 15,2010/2011,,ALEX/ VILLALBA,,,,GOLDEN LEAGUE FUT 11 GRUPO 2,,,,,,,,,,,,SE CONVIERTE EN PRE JUVENILES,,,,,,,,,,,,,,,,,,,
,SUB 17,08-09,,DAVID/ARTURO,,,,GOLDEN LEAGUE FUT 11 GRUPO 2,,,,,,,,,,,,J5 SAN PEDRO FÚTBOL 11,,,,,,,,,,,,,,,,,,,
C      O      N      T       R      Y,INICIACION B1,2020/2021/,COMPITE,AILIN,,,SUPER LIGA REGIA  FUT 4,,,,,,,,,,,SUPER LIGA REGIA F4,,,,,,,,,,,,,,,,,,,,,
,BASICO B1 ,2019,COMPITE,ANGEL,,,SUPER LIGA REGIA  FUT 7  CO.,,,,,,,,,,,,SUPER LIGA REGIA FUT 7,,,,,,,,,,,,,,,,,,,,
,BASICO B1  ,2018,COMPITE,ANGEL,,,SUPER LIGA REGIA  FUT 7,,,,,,,,,,,,SUPER LIGA REGIA FUT 7,,,,,,,,,,,,,,,,,,,,
,INTERMEDIO  B1 ,2017,COMPITE,DANIEL,,,SUPER LIGA REGIA  FUT 7,,,,,,,,,,,,SUPER LIGA REGIA FUT 7,,,,,,,,,,,,,,,,,,,,
,INTERMEDIO  B1  ,2016,COMPITE,SEBASTIAN,,,SUPER LIGA REGIA  FUT 7,,,,,,,,,,,,SUPER LIGA REGIA FUT 7,,,,,,,,,,,,,,,,,,,,
,AVANZADO B1 ,2015,COMPITE,JOEL,,,SUPER LIGA REGIA  FUT 7,,,,,,,,,,,,SUPER LIGA REGIA FUT 7,,,,,,,,,,,,,,,,,,,,
,AVANZADO B1 ,2014,COMPITE,JOEL,,,SUPER LIGA REGIA  FUT 7,,,,,,,,,,,,SUPER LIGA REGIA FUT 7,,,,,,,,,,,,,,,,,,,,
,AVANZADO B2 FEM.,2015/2014,COMPITE,AILIN,,,ROSA POWER FUT 7  LV,,,,,,,,,,,ROSA POWER FUT 7  LV,,,,,,,,,,,,,,,,,,,,,
,EXPERT B1 ,2012/2013,INVITADA,AILIN ,,,SUPER LIGA REGIA  FUT 7,,,,,,,,,,,,SUPER LIGA REGIA FUT 7,,,,,,,,,,,,,,,,,,,,
,EXPERT B2 FEM.,2012/2013,COMPITE,JOEL,,,ROSA POWER FUT 7  LV,,,,,,,,,,,ROSA POWER FUT 7  LV,,,,,,,,,,,,,,,,,,,,,
,PREJUVENIL B2 ,2010/2011,COMPITE,JOEL,GOLDEN RELÁMPAGO,,,GOLDEN LEAGUE FUT 11 GRUPO 2,,,,,,,,,,,,SUPER LIGA REGIA FUT 11,,,,,,,,,,,,,,,,,,,
,PREJUVENIL B1,2010/2011,COMPITE,DANIEL,,,SUPER LIGA REGIA  FUT 7,,,,,,,,,,,,SUPER LIGA REGIA FUT 7,,,,,,,,,,,,,,,,,,,,
,PREJUVENIL B3 FEM.,2010/2011,,ANGEL,,,ROSA POWER FUT 7  LV,,,,,,,,,,,ROSA POWER FUT 7  LV,,,,,,,,,,,,,,,,,,,,,
,SUB 9,2016,COMPITE,AILIN ,,,J5 SAN PEDRO FÚTBOL 7,,,,,,,,,,,CECAF  FUT 7 RELAMPAGO,SUPER LIGA REGIA FUT 7,,,,,,,,,,,,,,,,,,,,
,SUB 10,2015,COMPITE,JOEL,,,J5 SAN PEDRO FÚTBOL 9,,,,,,,,,,,CECAF  FUT 7 RELAMPAGO,J5 SAN PEDRO FÚTBOL 9,,,,,,,,,,,,,,,,,,,,
,SUB 11,2014,COMPITE,SEBASTIAN/ DANIEL,,,J5 SAN PEDRO FÚTBOL 9,,,,,,,,,,,CECAF  FUT 7 RELAMPAGO,J5 SAN PEDRO FÚTBOL 9,,,,,,,,,,,,,,,,,,,,
,SUB 13,2013-2012,COMPITE,ANGEL,GOLDEN RELÁMPAGO,,,GOLDEN LEAGUE FUT 11 GRUPO 2,,,,,,,,,,CECAF  FUT 7 RELAMPAGO,J5 SAN PEDRO FÚTBOL 9,,,,,,,,,,,,,,,,,,,,